,price
466,1.0720243523489854
906,-1.013709261513715
12102,-0.7334556493151093
10798,-0.49200638342092595
2695,-0.08671654424140375
6155,0.26360047100685347
8441,0.6139174862551107
10161,-1.1646150526975798
1647,-1.1915625154089842
13185,1.2337091286174118
5716,-0.6798301985194146
12315,-0.6094973208426491
2052,2.23647272154165
1295,-1.0083197689714343
5656,-0.571770873046683
9927,-1.0433514704962599
7100,-0.16755893237561695
10819,-0.19450639508702136
13803,0.07496823202702264
15050,-1.0945516496479284
6375,0.10191569473842704
14291,-0.6798301985194146
8323,-0.14061146966421256
6168,0.8833921133691547
12489,0.7483853251850187
12460,-1.3209103364237254
5423,-0.03012687254745451
962,-0.2591803055943919
10801,0.30671641134510047
3049,0.15581062016123584
11824,-0.12713773830851036
13408,-0.8142980374493226
8259,-0.6526132611808961
7980,-1.1376675899861755
4240,0.6947598743893239
2103,0.8025497252349415
5708,0.037241784231056486
6674,-1.0305514257083428
11719,0.37139032185247106
7942,-0.3184647235594816
12184,0.9639650268762538
5051,1.0235189194684575
6309,-1.1915625154089842
678,-1.3262998289660062
15809,-0.8142980374493226
12865,1.0181294269261767
5116,-0.18103266373131915
2857,0.910339576080559
5677,1.3307199943784678
5880,-0.5987183357580873
2820,1.6109736065770734
5579,-1.5418795306572413
2947,-1.5957744560800502
3645,-0.08132705169912287
15744,-0.19989588762930224
15728,2.360059175028693
6534,-0.5070969625393124
2483,-0.07324281288570156
4938,-0.11366400695280815
15690,0.8025497252349415
9944,0.8025497252349415
79,2.4463449506306096
3451,1.179814203194603
11136,-0.35619117135544776
13383,-0.05976908152999935
14079,-0.35619117135544776
3803,-1.5203215604881177
15046,-0.571770873046683
3500,1.2067616659060074
11642,-1.2993523662546018
6979,-0.32924370864404334
1269,0.048020769315618245
11663,-0.7873505747379181
10872,0.3983377845638755
12157,-0.9220878882949402
14708,1.6648146370744594
3122,0.6511049847968488
10808,-0.571770873046683
10538,-0.5448234103352786
10630,0.34444285914106665
13084,-1.250846933374074
7794,-0.7604031120265138
11059,-1.1648845273246937
2607,0.016761712570389144
13451,-0.022312108361147238
3229,-1.240067948289512
10193,-0.5987452832207988
14486,-0.5879393506735255
6624,-1.1915625154089842
10978,0.42528524727527983
4363,0.4037272771061563
11805,2.027231063080137
1029,1.1905931882791647
2878,1.2337091286174118
371,0.12886315744983146
6887,-0.9840670525311703
4186,0.31749539642966224
9757,0.3983377845638755
